property_type,furnishing,price,area,bedrooms,bathrooms,neighborhood,latitude,longitude,city
Apartment,Unfurnished,"650,000",123 Sq. M.,4,3,Al Salamah,21.592616115890333,39.15778873836224,Jeddah
Apartment,Unfurnished,"730,000",112 Sq. M.,4,3,Al Rawdah,21.575829910235047,39.16601174884037,Jeddah
Apartment,Unfurnished,"495,000",124 Sq. M.,3,3,Al Salamah,21.587035474205475,39.156213209376205,Jeddah
Apartment,Unfurnished,"1,550,000",230 Sq. M.,7,2,Al Rawdah,21.57495579636057,39.15830441358547,Jeddah
Apartment,Unfurnished,"250,000",706 Sq. M.,2,2,Al Mraikh,21.54774721665602,39.280203390591545,Jeddah
Apartment,Unfurnished,"520,000",102 Sq. M.,3,1,Al Salamah,21.5882259620476,39.15448848833505,Jeddah
Apartment,Unfurnished,"915,000",174 Sq. M.,4,3,Al Marwah,21.62354487706553,39.20078864853343,Jeddah
Apartment,Unfurnished,"1,750,000",211 Sq. M.,3,4,Al Zahraa,21.605489860440578,39.12516695577475,Jeddah
Apartment,Unfurnished,"1,750,000",211 Sq. M.,3,4,Al Zahraa,21.605489860440578,39.12516695577475,Jeddah
Apartment,Unfurnished,"1,950,000",192 Sq. M.,3,4,Al Zahraa,21.60767352733878,39.14022351762005,Jeddah
Apartment,Unfurnished,"720,000",166 Sq. M.,3,2,Al Marwah,21.610096546971707,39.206156664467564,Jeddah
Apartment,Unfurnished,"950,000",237 Sq. M.,6,4,Al Woroud,21.517074694089274,39.2004866214196,Jeddah
Apartment,Unfurnished,"740,000",141 Sq. M.,4,4,Al Salamah,21.591739817529966,39.15327015637582,Jeddah
Apartment,Unfurnished,"1,250,000",166 Sq. M.,3,3,Jeddah,21.983404332925826,38.94152907176319,Jeddah
Apartment,Unfurnished,"1,200,000",135 Sq. M.,4,4,Al Nahdah,21.609220179667116,39.12684398695945,Jeddah
Apartment,Unfurnished,"1,550,000",213 Sq. M.,5,4,Al Salamah,21.60740170344764,39.15061687084383,Jeddah
Apartment,Unfurnished,"750,000",166 Sq. M.,5,4,Mishrifah,21.540423056714687,39.180328983052924,Jeddah
Apartment,Unfurnished,"450,000",102 Sq. M.,4,3,Al Marwah,21.61020055462278,39.21472108486698,Jeddah
Apartment,Unfurnished,"6,500,000",173 Sq. M.,5,4,Bani Malik,21.53357333887304,39.23805271207435,Jeddah
Apartment,Unfurnished,"320,000",659 Sq. M.,3,2,Al Mraikh,21.5480824673055,39.280268263415174,Jeddah
Apartment,Unfurnished,"800,000",225 Sq. M.,4,3,Al Safa,21.5884549640863,39.198400544822235,Jeddah
Apartment,Unfurnished,"850,000",257 Sq. M.,7,5,Al Sawari,21.78834474642356,39.095412001407404,Jeddah
Apartment,Unfurnished,"1,150,000",242 Sq. M.,6,5,Al Faisaliyah,21.567818247053076,39.184878477205224,Jeddah
Apartment,Unfurnished,"590,000",139 Sq. M.,4,4,Al Safa,21.579274473566066,39.21958247006191,Jeddah
Apartment,Unfurnished,"850,000",205 Sq. M.,6,4,Mishrifah,21.540331993558027,39.18039934913049,Jeddah
Apartment,Unfurnished,"740,000",117 Sq. M.,4,3,Al Rawdah,21.575822427421258,39.166027842094465,Jeddah
Apartment,Unfurnished,"740,000",117 Sq. M.,4,3,Al Rawdah,21.57579499043435,39.166042594244104,Jeddah
Apartment,Unfurnished,"740,000",117 Sq. M.,4,3,Al Rawdah,21.57579499043435,39.166042594244104,Jeddah
Apartment,Unfurnished,"650,000",123 Sq. M.,4,3,Al Salamah,21.592610628794688,39.15775279505891,Jeddah
Apartment,Unfurnished,"750,000",696 Sq. M.,4,4,Al Nahdah,21.614233454180383,39.12885620949904,Jeddah
Apartment,Unfurnished,"700,000","2,330 Sq. M.",4,3,Al Zahraa,21.59102595082233,39.133706606855775,Jeddah
Apartment,Unfurnished,"750,000",696 Sq. M.,4,4,Al Nahdah,21.614233454180383,39.12885620949904,Jeddah
Apartment,Unfurnished,"1,100,000",196 Sq. M.,5,3,Al Rawdah,21.575617388504387,39.16610299073286,Jeddah
Apartment,Unfurnished,"750,000",136 Sq. M.,5,3,Al Naim,21.618127702227305,39.14668395267189,Jeddah
Apartment,Unfurnished,"920,000",172 Sq. M.,4,3,Al Rawdah,21.565227705668498,39.16016274636703,Jeddah
Apartment,Unfurnished,"1,460,000",200 Sq. M.,3,4,Al Nahdah,21.612342697721807,39.126748708088115,Jeddah
Apartment,Unfurnished,"950,000",157 Sq. M.,4,3,Al Rawdah,21.575243002119915,39.16467583248013,Jeddah
Apartment,Unfurnished,"950,000",157 Sq. M.,4,3,Al Rawdah,21.57526295636877,39.164654374808016,Jeddah
Apartment,Unfurnished,"650,000",111 Sq. M.,4,3,Al Salamah,21.59262609181841,39.15778069173515,Jeddah
Apartment,Unfurnished,"320,000",659 Sq. M.,3,3,Al Mraikh,21.5480824673055,39.280268263415174,Jeddah
Apartment,Unfurnished,"850,000",205 Sq. M.,6,4,Mishrifah,21.54038189118547,39.180345704950085,Jeddah
Apartment,Unfurnished,"850,000",206 Sq. M.,6,5,Al Faisaliyah,21.567610587349048,39.18487110113049,Jeddah
Apartment,Unfurnished,"1,550,000",213 Sq. M.,5,4,Al Salamah,21.607165252557966,39.150323632618196,Jeddah
Apartment,Unfurnished,"1,100,000",220 Sq. M.,5,4,Al Salamah,21.581960481303614,39.15957839072282,Jeddah
Apartment,Unfurnished,"1,950,000",192 Sq. M.,3,4,Al Zahraa,21.60767352733878,39.14022351762005,Jeddah
Apartment,Unfurnished,"1,750,000",211 Sq. M.,3,4,Al Zahraa,21.605489860440578,39.12516695577475,Jeddah
Apartment,Unfurnished,"1,950,000",192 Sq. M.,3,4,Al Zahraa,21.60767352733878,39.14022351762005,Jeddah
Apartment,Unfurnished,"550,000",132 Sq. M.,4,3,Al Faisaliyah,21.57891195855323,39.19233006434598,Jeddah
Apartment,Unfurnished,"550,000",129 Sq. M.,4,3,Al Faisaliyah,21.578958296595104,39.19228566068555,Jeddah
Apartment,Unfurnished,"440,000",103 Sq. M.,2,3,Al Jameah District,21.48471554328168,39.26058015374089,Jeddah
Apartment,Unfurnished,"800,000",696 Sq. M.,4,4,Al Nahdah,21.614233454180383,39.12885620949904,Jeddah
Apartment,Unfurnished,"800,000",696 Sq. M.,4,4,Al Nahdah,21.614233454180383,39.12885620949904,Jeddah
Apartment,Unfurnished,"450,000",102 Sq. M.,3,2,Al Marwah,21.606669323105706,39.208215165968184,Jeddah
Apartment,Unfurnished,"450,000",102 Sq. M.,3,2,Al Marwah,21.606669323105706,39.208215165968184,Jeddah
Apartment,Unfurnished,"850,000",150 Sq. M.,4,3,Al Nahdah,21.613489772661573,39.13496880046699,Jeddah
Apartment,Unfurnished,"780,000",136 Sq. M.,4,3,Al Rawdah,21.565380145197178,39.16037485016157,Jeddah
Apartment,Unfurnished,"700,000",157 Sq. M.,5,3,Al Waha,21.561417049643637,39.2499411948754,Jeddah
Apartment,Unfurnished,"320,000",659 Sq. M.,3,3,Al Mraikh,21.5480824673055,39.280268263415174,Jeddah
Apartment,Unfurnished,"320,000",659 Sq. M.,3,3,Al Mraikh,21.5480824673055,39.280268263415174,Jeddah
Apartment,Unfurnished,"450,000",102 Sq. M.,3,2,Al Marwah,21.606669323105706,39.208215165968184,Jeddah
Apartment,Unfurnished,"600,000",86 Sq. M.,3,2,Al Rawdah,21.566226939626457,39.16277326793492,Jeddah
Apartment,Unfurnished,"320,000",659 Sq. M.,3,3,Al Mraikh,21.5480824673055,39.280268263415174,Jeddah
Apartment,Unfurnished,"320,000",659 Sq. M.,3,3,Al Mraikh,21.5480824673055,39.280268263415174,Jeddah
Apartment,Unfurnished,"519,000",582 Sq. M.,3,3,Al Hamraa,21.537974516668807,39.165811171249295,Jeddah
Apartment,Unfurnished,"450,000",102 Sq. M.,3,2,Al Marwah,21.606669323105706,39.208215165968184,Jeddah
Apartment,Unfurnished,"733,000",221 Sq. M.,4,6,Al Waha,21.555853230392877,39.244919841258394,Jeddah
Apartment,Unfurnished,"250,000",706 Sq. M.,2,2,Al Mraikh,21.54941559911014,39.27927952288219,Jeddah
Apartment,Unfurnished,"250,000",706 Sq. M.,2,2,Al Mraikh,21.54941559911014,39.27927952288219,Jeddah
Apartment,Unfurnished,"420,000",104 Sq. M.,3,3,Al Rabwa,21.613816175500645,39.17126965182625,Jeddah
Apartment,Unfurnished,"370,000",625 Sq. M.,3,3,Al Nuzhah,21.628376565633946,39.16303747234423,Jeddah
Apartment,Unfurnished,"660,000",167 Sq. M.,5,5,Al Marwah,21.62212728897192,39.21203340613925,Jeddah
